twitter_user_id,twitter_screen_name,twitter_name,twitter_location,twitter_description,twitter_followers_count,twitter_friends_count,twitter_created_at,twitter_verified,twitter_lang,twitter_profile_image_url,date_crawled
46376581,ashrafghani,"Ashraf Ghani","Kabul, Afghanistan","President of the Islamic Republic of Afghanistan. Personal tweets from Dr. Ashraf Ghani are signed - AG.",299125,17,"Thu Jun 11 12:34:40 +0000 2009",1,en,http://pbs.twimg.com/profile_images/752424086526169090/eSgvsEMc_normal.jpg,"2017-05-18 16:06:10"
2870463431,afgexecutive,"Dr. Abdullah",Kabul,"This is the official account of Dr. Abdullah Abdullah the Chief Executive of the Islamic Republic of Afghanistan.",100547,1,"Mon Nov 10 12:03:32 +0000 2014",1,en,http://pbs.twimg.com/profile_images/598755190963974144/j5FdHBea_normal.jpg,"2017-05-18 16:07:10"
273410176,ediramaal,"Edi Rama","Tirane - Shqipëri","Faqja Zyrtare e Kryeministrit të Republikës së Shqipërisë",286570,285,"Mon Mar 28 12:53:15 +0000 2011",1,en,http://pbs.twimg.com/profile_images/529591825829347329/PhWoRpmd_normal.jpeg,"2017-05-18 16:08:11"
2416157107,AmSellal,"Abdelmalek Sellal",Algérie,"Compte officiel de Mr Abdelmalek Sellal",27289,15,"Fri Mar 28 16:28:17 +0000 2014",,fr,http://pbs.twimg.com/profile_images/449587999659921408/oFL9-lY2_normal.jpeg,"2017-05-18 16:09:11"
122452959,GovernAndorra,"Govern d’Andorra",Andorra,"El twitter del Govern d'Andorra, un espai informatiu i de servei públic per estar en contacte amb el ciutadà.

Visita el nostre web:",12222,2505,"Fri Mar 12 19:23:40 +0000 2010",,ca,http://pbs.twimg.com/profile_images/748767129/escut_Govern_facebook_normal.gif,"2017-05-18 16:10:12"
24900072,mauriciomacri,"Mauricio Macri","Buenos Aires, Argentina","Presidente de la República Argentina. Miembro fundador de PRO Argentina y Cambiemos. Casado. 4 hijos. Hincha de Boca.",3889077,642,"Tue Mar 17 15:42:21 +0000 2009",1,es,http://pbs.twimg.com/profile_images/653558348273569792/joxg8DZD_normal.png,"2017-05-18 16:11:13"
776750995313491968,armenia,"Armenia 🇦🇲",Armenia,"Official twitter account of the Republic of Armenia, maintained by the MFA Press Department (See also: @MFAofArmenia)",3688,60,"Fri Sep 16 11:54:03 +0000 2016",1,en,http://pbs.twimg.com/profile_images/824892416133996544/I9pkGBIQ_normal.jpg,"2017-05-18 16:12:13"
16734909,TurnbullMalcolm,"Malcolm Turnbull","Sydney, NSW, Australia","Prime Minister of Australia and Federal Member for Wentworth. retweet is not an endorsement",837982,4487,"Tue Oct 14 07:18:41 +0000 2008",1,en,http://pbs.twimg.com/profile_images/378800000223732312/cd2615bfb2898972fc2cf9d8d2b9b9ef_normal.jpeg,"2017-05-18 16:13:14"
4502695341,vanderbellen,"A. Van der Bellen",,"Offizieller Twitter-Account des Österreichischen Bundespräsidenten Alexander Van der Bellen. Gezwitschert wird von Pressesprecher Reinhard Pickl-Herk und Team.",61439,262,"Wed Dec 16 12:16:40 +0000 2015",1,de,http://pbs.twimg.com/profile_images/847767471843049472/TpBRVnRQ_normal.jpg,"2017-05-18 16:14:15"
270564264,KernChri,"Christian Kern","Wien, Österreich","Bundeskanzler der Republik Österreich - twittere ausschließlich persönlich.",44415,162,"Tue Mar 22 21:15:05 +0000 2011",1,de,http://pbs.twimg.com/profile_images/778200868848070656/WtegxKc6_normal.jpg,"2017-05-18 16:15:15"
